DATE,GDP
1970-01-01,40.260629558752
1970-04-01,41.8613187946161
1970-07-01,42.6432196992798
1970-10-01,43.0046664624886
1971-01-01,42.1785027300164
1971-04-01,43.0636780088056
1971-07-01,43.8086956550035
1971-10-01,43.7718165646086
1972-01-01,43.8160710562755
1972-04-01,44.5315870973858
1972-07-01,45.5716687272745
1972-10-01,46.2798051990421
1973-01-01,46.9197270241773
1973-04-01,47.2664063125591
1973-07-01,47.4213043275171
1973-10-01,47.5393211680447
1974-01-01,47.9413566046562
1974-04-01,47.904471262155
1974-07-01,47.9044733461904
1974-10-01,47.2995799880172
1975-01-01,47.0266588804254
1975-04-01,46.7906064430515
1975-07-01,47.2995987443358
1975-10-01,48.2290618593582
1976-01-01,48.6624015916762
1976-04-01,49.3852888659876
1976-07-01,49.4000396685314
1976-10-01,50.314720720479
1977-01-01,50.7443800462849
1977-04-01,51.03207488081
1977-07-01,51.0173240782662
1977-10-01,51.8951468801728
1978-01-01,52.1090147607398
1978-04-01,52.3155655930259
1978-07-01,53.0016008694026
1978-10-01,53.6212450301196
1979-01-01,53.6875507003279
1979-04-01,55.3546852367719
1979-07-01,55.3546894048427
1979-10-01,55.6940099642358
1980-01-01,56.1402498756646
1980-04-01,55.7788177007035
1980-07-01,55.5575306541213
1980-10-01,55.4837724733314
1981-01-01,56.1439552906014
1981-04-01,56.003801826081
1981-07-01,56.1513348599441
1981-10-01,56.1070699481003
1982-01-01,56.3172865986507
1982-04-01,55.9706010581627
1982-07-01,55.4173855257425
1982-10-01,55.5501594209202
1983-01-01,56.0535935997992
1983-04-01,56.6437132310392
1983-07-01,56.5256859703346
1983-10-01,57.3075910430691
1984-01-01,58.0655255406611
1984-04-01,57.150873665209
1984-07-01,58.7072563085213
1984-10-01,59.20146237866
1985-01-01,58.8787724217393
1985-04-01,59.4688837168377
1985-07-01,60.2434113042649
1985-10-01,60.6048580674737
1986-01-01,60.2581683589149
1986-04-01,60.9515498600679
1986-07-01,61.4015181108229
1986-10-01,62.0137576937724
1987-01-01,60.4573333697522
1987-04-01,61.8145968510059
1987-07-01,62.2424284777682
1987-10-01,63.2382451958131
1988-01-01,62.6646915619482
1988-04-01,63.8006971731152
1988-07-01,64.523607371816
1988-10-01,65.283402913018
1989-01-01,65.965707766033
1989-04-01,66.2312513883176
1989-07-01,66.8361051498182
1989-10-01,67.6106056447852
1990-01-01,69.0140034176344
1990-04-01,69.3533177249213
1990-07-01,70.813853496265
1990-10-01,72.060475538263
1991-01-01,73.6925044984353
1991-04-01,73.3024906869304
1991-07-01,73.1424843428266
1991-10-01,74.0825196317386
1992-01-01,75.2174845011946
1992-04-01,74.6374978532754
1992-07-01,74.5075069080243
1992-10-01,74.2675132534498
1993-01-01,73.7300025982262
1993-04-01,73.710001144314
1993-07-01,74.1399967148683
1993-10-01,74.0900010108784
1994-01-01,75.1175248163773
1994-04-01,75.2975141092152
1994-07-01,75.8174990389947
1994-10-01,76.7374667840728
1995-01-01,76.4624851249348
1995-04-01,77.0225046857011
1995-07-01,77.1625069322958
1995-10-01,77.1925077913656
1996-01-01,76.5599941954544
1996-04-01,77.5999997435711
1996-07-01,77.8600001392514
1996-10-01,78.4399973615582
1997-01-01,78.0324710425934
1997-04-01,79.042502167609
1997-07-01,79.2825090401678
1997-10-01,79.882520934371
1998-01-01,80.6274971064924
1998-04-01,80.2875094003413
1998-07-01,80.6674960489214
1998-10-01,80.3375024607343
1999-01-01,81.2675158739152
1999-04-01,81.2675158739152
1999-07-01,82.167494061267
1999-10-01,82.8474721171659
2000-01-01,84.0299992596937
2000-04-01,84.7099971425692
2000-07-01,84.6699982001401
2000-10-01,84.419995887819
2001-01-01,86.1174930568654
2001-04-01,86.0874948413924
2001-07-01,85.9074989395624
2001-10-01,85.8274984111074
2002-01-01,85.3875126879845
2002-04-01,85.7574986096085
2002-07-01,86.177488166013
2002-10-01,86.0574926605242
2003-01-01,84.779999587665
2003-04-01,84.8699995212776
2003-07-01,85.5199991886801
2003-10-01,85.7599981304483
2004-01-01,85.6099951568975
2004-04-01,86.0499954198032
2004-07-01,85.8700008397716
2004-10-01,85.7999997164742
2005-01-01,85.7924760397846
2005-04-01,86.2524870091915
2005-07-01,86.9825070320255
2005-10-01,87.4025243461971
2006-01-01,88.2499967343317
2006-04-01,89.7600020826256
2006-07-01,90.4499993706587
2006-10-01,91.8200024723579
2007-01-01,91.8799949379085
2007-04-01,92.6599948031512
2007-07-01,93.1299985687236
2007-10-01,93.7300012103378
2008-01-01,94.3300025301535
2008-04-01,94.1100050422975
2008-07-01,93.5000003519288
2008-10-01,92.0099964575471
2009-01-01,87.7000043364902
2009-04-01,87.8400012958912
2009-07-01,88.3300025499805
2009-10-01,88.980002217383
2010-01-01,89.6975603245756
2010-04-01,91.717498325554
2010-07-01,92.4774795535048
2010-10-01,93.2274626980964
2011-01-01,95.0299992233443
2011-04-01,95.1199978351585
2011-07-01,95.9600033839362
2011-10-01,95.6599974368346
2012-01-01,95.8699981631298
2012-04-01,96.0499953867582
2012-07-01,96.3299985581492
2012-10-01,95.8799975682874
2013-01-01,95.4475315564589
2013-04-01,96.4875027378163
2013-07-01,97.0174870727535
2013-10-01,97.2874829081962
2014-01-01,98.239999939726
2014-04-01,98.2599987500413
2014-07-01,98.7299959066216
2014-10-01,99.5300011911717
2015-01-01,99.0300031755216
2015-04-01,99.800004957405
2015-07-01,100.189998941933
2015-10-01,100.6399959664
2016-01-01,101.48999695494
2016-04-01,101.980000852626
2016-07-01,102.179995564771
2016-10-01,102.569994836494
