,Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Slovenia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Spain,Sweden
19,1979,91.4860033931168,300.072577696526,79.7789026484679,82.1816848506528,72.6851731601732,133.199702342436,127.920025,34.6386647794291,15.6429626711317,99.9944755518056,223.774382035345,74.0749262994569,119.040836298932,48.9730004354768,191.485325218456,40.2711523936555,93.4756206554121,54.209349074665,,979.19375,415.825533175355,115.077922883542,105.587595628415,95.9038291221672,102.681351351351,74.4511550626576,20.3605933818874
20,1980,91.4861003393117,300.403473491773,80.1006508180421,82.2711858343767,73.5202380952381,133.353086579526,128.075675,34.8482896909648,15.6917003184609,100.540541231559,224.239039899178,74.8060899922421,119.131598264932,49.539846131514,191.880191084968,40.3635238722741,94.404915590864,54.4544033184429,,989.515625,419.129146919431,116.145319794966,106.735650273224,96.4108795693323,103.530457380457,75.0618956093459,20.4019667123043
21,1981,91.7197043141057,300.395551492992,80.3680466419597,82.4809336433554,74.3690476190476,133.306470816617,128.0393,35.0947393253126,15.7587708066581,101.122136874824,224.580835218973,75.4798293250582,119.152925472747,50.1233851066918,192.110689877937,40.4875857746637,94.6639026812314,54.7694160816847,,996.81875,422.014454976303,117.204567566685,107.665158469945,97.0438048102804,104.284927234927,75.5989088215272,20.4264475080627
22,1982,91.7855065438682,300.313924436319,80.6061375757028,82.8873904489358,75.3492424242424,133.490694965705,127.94525,35.3482896909648,15.8473127811156,101.712133331872,224.367330220835,75.9465709852599,119.095950606297,50.5995064595732,192.253061779606,40.6749481736224,94.8527308838133,55.1560146777281,,1018.43125,423.954087677725,118.288161546247,108.325366120219,97.5763697143353,105.095613305613,76.0541624954951,20.4381330864632
23,1983,91.6373000484731,300.290067032297,80.8075386423212,83.3170094795207,76.5667748917749,133.607557913809,127.857425,35.5920028308563,15.9420434026068,102.257364409039,223.77991579068,76.3896586501164,118.930384957721,50.9595006532153,192.322851994152,40.9148922493451,95.4479145978153,55.6029355456286,,1032.8875,425.564869668246,119.402553135917,108.82912568306,97.9442476339324,105.862182952183,76.4301804056625,20.4473882609527
24,1984,91.6315317498788,300.285557586837,80.9968272620446,83.7110534788052,77.8872294372294,133.689827876278,127.790475,35.8248879452701,16.0274565809777,102.774279264965,223.007719187695,76.7711481768813,118.692645749889,51.2762810277254,192.365842711911,41.172593890112,95.9361469712016,56.0658104658583,,1033.103125,427.257434834123,120.487557543505,109.24843715847,98.2918598593384,106.592453222453,76.7466842864008,20.465977168442
25,1985,91.6745637421231,300.375015234613,80.9956340956341,84.0890180647469,79.1844155844156,133.77918985376,127.842275,36.0646614767634,16.0944417085262,103.310276752026,222.50987597743,77.0698215671063,118.477002670227,51.3584264769923,192.421444357553,41.4429909846208,96.4071996027805,56.5498245054244,,1051.4125,429.254502369668,121.459678735839,109.547683060109,98.6932317443779,107.313264033264,77.0252923274067,20.4998088818743
26,1986,91.7328405235095,300.48211456429,80.9741571002441,84.4472545161867,80.4595238095238,133.845308657953,128.01335,36.3338051427223,16.1468006172232,103.850847203807,222.611737748117,77.325159038014,118.27507788162,51.3817680359994,192.431930230186,41.7807704051296,97.6148957298908,57.0981812380345,,1069.128125,431.643305687204,122.289722158738,109.647366120219,99.1440522705566,107.98,77.2557744674035,20.5475405417149
27,1987,91.7909112942317,300.738391224863,81.0933652716261,84.7745483813271,81.7122294372294,133.911194512747,128.1756,36.6176220806794,16.1926622673102,104.404599628173,222.953971300089,77.5841349883631,118.076780151313,51.3870953694295,192.451569140798,42.2096999694666,98.7972194637537,57.6957083599234,,1076.515625,434.390906398104,122.981635051748,109.617825136612,99.6328470955978,108.582952182952,77.4563811468845,20.6162178643525
28,1988,91.9209524963645,301.696039000609,81.1845430714996,85.0510999821141,82.9450216450216,134.014184030025,128.2379,36.8459542344893,16.2398010440264,104.960225799264,223.826709248704,77.8664313421257,117.90905752754,51.167789229206,192.544585359219,42.6412007649413,99.0663356504469,58.3128430121251,,1085.390625,437.206575829384,123.492399360084,109.50393442623,100.102726404446,109.16,77.6208133109082,20.7111877383913
29,1989,92.3360033931168,302.79393662401,80.2401880141011,85.266678590592,84.1549783549784,134.089141969717,128.31485,36.9929464496343,16.2985357365639,105.496473484475,225.564354251998,78.2738401861908,116.632012907533,50.9654376542314,192.689065315698,42.8584858662638,99.1236842105263,58.7787970644544,,1096.00625,439.837292654028,123.939825002449,109.344262295082,100.987390451275,109.686943866944,77.7425997116771,20.8498312342254
30,1990,93.0422927775085,303.698324192566,78.8058302449607,85.4474691468431,85.3354978354978,133.7304904879,128.523475,37.0175513092711,16.3709609639187,106.004940043757,227.517053819494,79.1062218774244,115.433270279292,51.0084772826245,192.850430111183,42.7973548459672,99.2135551142006,58.9955009572431,,1106.78125,442.876481042654,124.427118090698,109.106207650273,101.163440156965,110.170207900208,77.8218044209515,21.0115414726333
31,1991,93.9758967523025,304.828945764778,78.0291693030823,83.8673224825613,86.4784632034632,133.409835641258,128.85745,36.8321302193914,16.4606191930136,106.941586950249,229.18080944061,80.0614972847168,115.426727495271,51.3025838292931,192.983988983714,42.5953524997188,99.2765143992056,59.0959476707084,,1137.015625,446.380272511848,124.86921871429,108.855027322404,100.240368691711,110.255592515593,78.0201345506968,21.1552544473323
32,1992,95.0158628211343,306.068190127971,77.1957335261683,81.8425684135217,87.7089826839827,133.546305163712,129.28425,36.1663364000944,16.5533733871762,107.475524411669,230.930020336264,80.6754150504267,115.381562256593,51.6537959065176,193.115116793037,42.0129204364665,99.1309831181728,59.0318123803446,,1148.80625,449.767950236967,125.252757190898,108.770426229508,99.3388128649874,110.291392931393,78.403181563351,21.2797009473911
33,1993,95.8026296655356,307.266148689823,76.5824188737232,82.2833661241281,89.3924242424242,133.68519477158,129.7157,35.2471809389007,16.6336616435208,107.943455218184,232.459793194317,81.1513964313421,115.262886712664,51.9126288285673,193.233215463602,41.1925691420123,98.8950347567031,58.7526005105297,,1160.3375,452.913744075829,125.571869796598,108.903551912568,99.2036956332258,110.713201663202,78.8107920871376,21.4036613666677
