long,lat,elevat
-10.0,51.673900604248,91.0
-10.0,51.9860992431641,436.0
-9.375,51.673900604248,151.0
-9.375,51.9860992431641,340.0
-8.75,38.2480010986328,60.0
-8.75,42.306999206543,124.0
-8.75,51.673900604248,74.0
-8.75,51.9860992431641,186.0
-8.75,53.2350006103516,33.0
-8.125,38.2480010986328,101.0
-8.125,42.306999206543,79.0
-8.125,43.5559005737305,254.0
-8.125,51.9860992431641,141.0
-8.125,53.2350006103516,73.0
-7.5,38.2480010986328,141.0
-7.5,42.306999206543,906.0
-7.5,43.5559005737305,424.0
-7.5,53.2350006103516,79.0
-6.875,38.2480010986328,310.0
-6.875,42.306999206543,1189.0
-6.875,43.5559005737305,60.0
-6.875,53.2350006103516,140.0
-6.25,36.6869010925293,59.0
-6.25,36.9990997314453,1.0
-6.25,38.2480010986328,542.0
-6.25,42.306999206543,1049.0
-6.25,43.5559005737305,34.0
-6.25,53.2350006103516,453.0
-5.625,36.6869010925293,425.0
-5.625,36.9990997314453,64.0
-5.625,38.2480010986328,431.0
-5.625,42.306999206543,792.0
-5.0,36.6869010925293,1810.0
-5.0,36.9990997314453,470.0
-5.0,38.2480010986328,699.0
-5.0,42.306999206543,821.0
-4.375,36.9990997314453,654.0
-4.375,38.2480010986328,627.0
-4.375,42.306999206543,800.0
-3.75,36.9990997314453,1179.0
-3.75,38.2480010986328,479.0
-3.75,42.306999206543,904.0
-3.125,36.9990997314453,1209.0
-3.125,38.2480010986328,725.0
-3.125,42.306999206543,1243.0
-2.5,36.9990997314453,254.0
-2.5,38.2480010986328,1494.0
-2.5,42.306999206543,995.0
-1.875,38.2480010986328,611.0
-1.875,42.306999206543,365.0
-1.25,38.2480010986328,802.0
-1.25,42.306999206543,464.0
-1.25,43.5559005737305,47.0
-1.25,43.8680992126465,30.0
-1.25,46.3660011291504,5.0
-1.25,49.1759986877441,9.0
-0.625,38.2480010986328,39.0
-0.625,42.306999206543,751.0
-0.625,43.5559005737305,128.0
-0.625,43.8680992126465,64.0
-0.625,45.1170997619629,46.0
-0.625,46.3660011291504,16.0
-0.625,49.1759986877441,78.0
0.0,42.306999206543,961.0
0.0,43.5559005737305,146.0
0.0,43.8680992126465,113.0
0.0,45.1170997619629,32.0
0.0,46.3660011291504,134.0
0.0,49.1759986877441,24.0
0.625,42.306999206543,1122.0
0.625,43.5559005737305,227.0
0.625,43.8680992126465,110.0
0.625,45.1170997619629,216.0
0.625,46.3660011291504,130.0
0.625,49.1759986877441,157.0
1.25,42.306999206543,1665.0
1.25,43.5559005737305,171.0
1.25,43.8680992126465,101.0
1.25,45.1170997619629,92.0
1.25,46.3660011291504,218.0
1.25,49.1759986877441,138.0
1.875,42.306999206543,1554.0
1.875,43.5559005737305,213.0
1.875,43.8680992126465,131.0
1.875,45.1170997619629,321.0
1.875,46.3660011291504,347.0
1.875,49.1759986877441,115.0
1.875,50.4249992370605,23.0
2.5,42.306999206543,490.0
2.5,43.5559005737305,695.0
2.5,43.8680992126465,622.0
2.5,45.1170997619629,961.0
2.5,46.3660011291504,276.0
2.5,49.1759986877441,52.0
2.5,50.4249992370605,118.0
3.125,42.306999206543,44.0
3.125,43.5559005737305,390.0
3.125,43.8680992126465,642.0
3.125,45.1170997619629,1053.0
3.125,46.3660011291504,414.0
3.125,49.1759986877441,70.0
3.125,50.4249992370605,22.0
3.75,43.5559005737305,30.0
3.75,43.8680992126465,281.0
3.75,45.1170997619629,832.0
3.75,46.3660011291504,335.0
3.75,49.1759986877441,197.0
3.75,50.4249992370605,49.0
4.375,43.5559005737305,1.0
4.375,43.8680992126465,130.0
4.375,45.1170997619629,1105.0
4.375,46.3660011291504,407.0
4.375,49.1759986877441,127.0
4.375,50.4249992370605,119.0
4.375,51.673900604248,-9999.0
4.375,51.9860992431641,-2.0
5.0,43.5559005737305,8.0
5.0,43.8680992126465,62.0
5.0,45.1170997619629,251.0
5.0,46.3660011291504,200.0
5.0,49.1759986877441,248.0
5.0,50.4249992370605,160.0
5.0,51.673900604248,2.0
5.0,51.9860992431641,1.0
5.625,43.5559005737305,534.0
5.625,43.8680992126465,463.0
5.625,45.1170997619629,1005.0
5.625,46.3660011291504,388.0
5.625,49.1759986877441,204.0
5.625,50.4249992370605,340.0
5.625,51.673900604248,20.0
